Security Symbol,Buy Quantity,Buy WAP,Sell Quantity, Sell WAP,Date
TCS,16,3064.1000,0,0.0000,07-30-2025
BANKBARODA,60,193.99,0,0.00,03-04-2025
CANBK,140,81.04,0,0.00,03-04-2025
PNB,150,86.98,0,0.00,03-04-2025
PVRINOX,20,889.30,0,0.00,03-04-2025
SBIN,20,707.80,0,0.00,03-04-2025
ONGC,0,0.0000,125,255.0000,10-24-2025
ITCHOTELS,250,190.5492,0,0.0000,12-17-2025
NIFTYETF,40,265.9400,0,0.0000,05-27-2025
BHARTIARTL,4,1835.7000,0,0.0000,06-12-2025
COALINDIA,6,393.2000,0,0.0000,06-12-2025
IDEA,125,6.8100,0,0.0000,06-12-2025
ITC,10,421.0500,0,0.0000,06-12-2025
ITCHOTELS,90,213.5897,0,0.0000,06-12-2025
SUNPHARMA,2,1690.9500,0,0.0000,06-12-2025
FINCABLES,4,732.4875,0,0.0000,12-11-2025
FMCGIETF,200,58.3500,0,0.0000,12-11-2025
HCLTECH,0,0.0000,2,1668.7000,12-11-2025
SWIGGY,288,343.7238,0,0.0000,04-17-2025
IOC,4,158.5800,0,0.0000,01-20-2026
NIFTYETF,40,269.8400,0,0.0000,06-11-2025
ITC,320,322.4000,0,0.0000,02-01-2026
PVRINOX,0,0.0000,55,1074.9000,09-30-2025
TRITURBINE,7,518.3000,0,0.0000,08-12-2025
GOLDBEES,0,0.0000,375,137.8482,01-30-2026
ITCHOTELS,110,180.8600,0,0.0000,01-30-2026
SILVERBEES,0,0.0000,320,329.3961,01-30-2026
SWIGGY,65,307.3000,0,0.0000,01-30-2026
GOLDBEES,500,105.4388,0,0.0000,10-15-2025
SWIGGY,110,438.9873,0,0.0000,10-15-2025
FSL,0,0.0000,6,335.5500,12-09-2025
GESHIP,0,0.0000,1,1064.0500,12-09-2025
ITCHOTELS,50,196.8000,0,0.0000,12-09-2025
KARURVYSYA,0,0.0000,12,238.7217,12-09-2025
MRPL,0,0.0000,21,148.7500,12-09-2025
NAM-INDIA,0,0.0000,2,806.1000,12-09-2025
NATIONALUM,0,0.0000,8,262.0000,12-09-2025
RAYMOND,0,0.0000,1,438.0500,12-09-2025
RAYMONDREL,0,0.0000,1,468.2000,12-09-2025
IDEA,250,6.6100,0,0.0000,05-09-2025
TITAN,0,0.0000,7,3487.1714,05-09-2025
FMCGIETF,13,59.4000,0,0.0000,05-23-2025
ITCHOTELS,20,219.4000,0,0.0000,05-23-2025
BLUESTARCO,0,0.0000,11,1871.4818,10-03-2025
AXISBANK,0,0.0000,1,1165.5000,05-07-2025
BHARTIARTL,0,0.0000,6,1906.9500,05-07-2025
BRITANNIA,0,0.0000,5,5372.8000,05-07-2025
CANBK,0,0.0000,140,94.0300,05-07-2025
ICICIBANK,0,0.0000,3,1440.7500,05-07-2025
INDUSINDBK,0,0.0000,37,829.3500,05-07-2025
ITC,0,0.0000,119,434.0013,05-07-2025
M&M,0,0.0000,8,3083.0000,05-07-2025
ONGC,0,0.0000,256,235.7751,05-07-2025
PNB,0,0.0000,150,96.5000,05-07-2025
PNBHOUSING,0,0.0000,3,1038.6500,05-07-2025
POWERGRID,0,0.0000,16,310.6000,05-07-2025
PVRINOX,0,0.0000,20,915.5225,05-07-2025
SBIN,0,0.0000,20,780.8400,05-07-2025
SUNPHARMA,0,0.0000,15,1804.3000,05-07-2025
TRITURBINE,22,521.5068,0,0.0000,09-29-2025
COALINDIA,259,386.1380,0,0.0000,07-15-2025
COALINDIA,0,0.0000,296,395.1341,09-18-2025
PNB,0,0.0000,150,112.1000,09-18-2025
PVRINOX,35,1130.5000,0,0.0000,09-18-2025
BANKBARODA,100,233.4700,0,0.0000,05-13-2025
INDUSINDBK,37,774.8000,0,0.0000,05-13-2025
ITC,120,427.4996,0,0.0000,05-13-2025
ONGC,256,241.6192,0,0.0000,05-13-2025
PNB,150,97.9000,0,0.0000,05-13-2025
PVRINOX,20,953.5075,0,0.0000,05-13-2025
SBIN,20,801.7500,0,0.0000,05-13-2025
SUNPHARMA,15,1697.1000,0,0.0000,05-13-2025
BANKBARODA,0,0.0000,60,252.3000,04-24-2025
GOLDBEES,27,83.0900,0,0.0000,08-04-2025
BANKBARODA,0,0.0000,100,297.5800,01-21-2026
COALINDIA,0,0.0000,60,414.0500,01-21-2026
GOLDBEES,375,133.0000,0,0.0000,01-21-2026
IDEA,0,0.0000,624,10.0839,01-21-2026
ITC,0,0.0000,458,325.2385,01-21-2026
SILVERBEES,320,308.1904,0,0.0000,01-21-2026
ITCHOTELS,75,206.9500,0,0.0000,11-11-2025
IDEA,124,6.5400,0,0.0000,08-11-2025
CASTROLIND,1,208.2400,0,0.0000,04-23-2025
ONGC,6,251.9000,0,0.0000,04-23-2025
COALINDIA,60,376.9500,0,0.0000,11-24-2025
SWIGGY,50,433.9500,0,0.0000,10-17-2025
COALINDIA,6,382.05,0,0.00,03-06-2025
IOC,40,125.90,0,0.00,03-06-2025
ITC,218,373.9532,0,0.0000,01-01-2026
SWIGGY,0,0.0000,160,399.7669,11-10-2025
ITC,50,399.3000,0,0.0000,09-25-2025
SWIGGY,0,0.0000,288,428.6476,09-25-2025
TCS,7,2962.5000,0,0.0000,09-25-2025
YESBANK,0,0.0000,730,21.4800,09-25-2025
BLUESTARCO,10,1553.7950,0,0.0000,05-28-2025
ITC,60,420.3500,0,0.0000,05-28-2025
INDUSINDBK,35,675.40,0,0.00,03-18-2025
GOLDBEES,0,0.0000,527,104.8000,10-20-2025
YESBANK,1000,22.6000,0,0.0000,10-20-2025
JIOFIN,75,326.4500,0,0.0000,07-07-2025
POLICYBZR,13,1806.7000,0,0.0000,07-07-2025
