,Months,Nifty500 Healthcare,Nifty Auto,Nifty Bank,Nifty Chemicals,Nifty Consumer Durables,Nifty Financial Services,Nifty Financial Services 25/50,Nifty Financial Services Ex-Bank,Nifty FMCG,Nifty Healthcare Index,Nifty IT,Nifty Media,Nifty Metal,Nifty MidSmall Financial Services,Nifty MidSmall Healthcare,Nifty MidSmall IT & Telecom,Nifty Oil & Gas,Nifty Pharma,Nifty Private Bank,Nifty PSU Bank,Nifty Realty
0,JAN2026,-5.49,-5.10,0.05,-4.22,-6.41,-1.02,-1.34,-3.22,-7.65,-5.10,0.89,-4.03,5.91,-0.53,-4.88,-2.76,-3.59,-4.44,-0.59,5.76,-10.80
1,DEC2025,-2.17,1.49,-0.29,0.87,-2.97,-0.99,-0.81,-0.70,-0.22,-2.60,1.28,-1.60,8.50,-0.55,-0.82,-1.50,1.64,-1.19,-0.24,0.22,-2.79
2,NOV2025,1.01,3.62,3.42,-1.25,-1.90,2.79,3.28,3.26,-0.88,2.30,4.77,-4.38,-2.96,5.75,0.36,3.42,0.47,3.73,2.63,4.03,-4.69
3,OCT2025,3.00,1.01,5.75,2.02,4.06,4.31,4.92,6.18,2.74,3.93,6.89,-0.25,5.72,9.76,2.20,8.95,6.29,3.37,6.00,8.74,9.22
4,SEP2025,-1.51,6.34,1.83,-2.89,-3.79,1.78,2.28,4.00,-2.55,-1.47,-4.34,-4.28,9.73,3.01,-0.39,-1.98,4.71,-1.60,1.56,11.41,-0.32
5,AUG2025,-3.43,5.86,-3.91,-4.95,0.88,-3.85,-3.67,-2.91,0.75,-3.53,-0.34,-0.72,-1.21,-2.25,-4.21,-3.61,-3.99,-4.20,-3.59,-1.38,-4.49
6,JUL2025,3.11,-0.57,-2.26,-2.46,-0.27,-1.83,-2.73,-5.61,1.76,3.14,-9.07,-7.25,-2.57,-6.43,4.27,-7.53,-4.37,3.63,-4.03,-4.87,-7.34
7,JUn2025,4.22,2.47,3.12,5.80,2.94,2.93,3.65,6.00,-0.53,4.24,4.57,2.52,3.96,7.87,5.40,5.65,3.63,2.91,2.70,3.25,3.92
8,May2025,,4.62,1.37,,0.74,1.65,2.39,7.29,-1.36,-1.16,4.72,13.04,7.13,9.67,1.08,6.48,1.87,-1.51,0.46,7.32,7.18
9,apr2025,,4.76,6.83,,4.06,4.15,3.96,2.95,5.35,2.72,-2.84,2.62,-5.62,8.10,-0.14,2.16,5.97,3.00,6.67,4.45,4.06
